Date (YYYY-MM-DD),Action (Open / Close / Adjust / No Action),Ticker,Asset Name,"Type (Stock, ETF, Bond, FX, etc.)",Quantity (positive number),Price per Unit,Trade Currency, Gross Trade Value (=Qty*Price) ,Fees / Commission, Net Trade Value ,Position After Trade (units),Brief Reason (or reason for no change),,,,
2026-03-31,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,440, $89.52 ,USD," $39,388.80 ",10," $39,398.80 ",440,Retained to provide a low-beta floor; internal volatility remains within historic norms for staples.,,,,
2026-03-31,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD," $36,360.00 ",10," $36,370.00 ",800,Kept as a bond-proxy; essential for stability while the broader equity market finds a bottom.,,,,
2026-03-31,No Action,MU,Micron Technology Inc.,Stock,15, $408.82 ,USD," $6,132.30 ",10," $6,142.30 ",15,Residual holding kept to maintain a 'toe-hold' in memory; size is too small to warrant further liquidation costs.,,,,
2026-03-31,No Action,PLTR,Palantir Technologies Inc.,Stock,388, $131.48 ,USD," $51,014.24 ",10," $51,024.24 ",388,Defense software contracts provide a fundamental buffer; no technical reason to exit despite Nasdaq pressure.,,,,
2026-03-31,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD," $50,217.50 ",10," $50,227.50 ",250,High-conviction AI/Cloud core; held through the correction to avoid exiting at a local technical low.,,,,
2026-03-31,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD," $3,477.00 ",10," $3,487.00 ",60,Maintained as an inflation/geopolitical hedge; sector remains in a confirmed uptrend relative to SPY.,,,,
2026-03-31,No Action,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD," $11,981.25 ",10," $11,991.25 ",75,Cash flow king; held to offset high-beta growth losses via strong dividend and energy price correlation.,,,,
2026-03-31,No Action,GOOGL,Alphabet Inc – Class A,Stock,130, $302.22 ,USD," $39,288.60 ",10," $39,298.60 ",130,Search/AI dominance provides structural safety; held as part of the core 'quality' basket.,,,,
2026-03-31,No Action,LMT,Lockheed Martin Corp.,Stock,120, $651.62 ,USD," $78,194.40 ",10," $78,204.40 ",120,Primary defense exposure; geopolitical backlog thesis remains the strongest growth driver in the portfolio.,,,,
2026-03-31,No Action,ITA,iShares U.S. Aerospace & Defense ETF,ETF,100, $231.91 ,USD," $23,191.00 ",10," $23,201.00 ",100,Held to mitigate single-stock idiosyncratic risk from LMT; aerospace sector showing relative strength.,,,,
2026-03-31,No Action,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD," $50,426.96 ",10," $50,436.96 ",274,AI market leader; keeping position size constant to participate in any eventual 'flight to quality' rebound.,,,,
2026-03-31,No Action,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD," $25,077.36 ",10," $25,087.36 ",161,Enterprise AI cloud growth remains stable; valuation remains more attractive than pure-play SaaS peers.,,,,
2026-03-31,No Action,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD," $20,054.40 ",10," $20,064.40 ",120,Diversified healthcare exposure; sector tends to decouple from tech-driven corrections.,,,,
2026-03-31,No Action,SIEGY,Siemens AG – ADR,Stock,150, $126.70 ,USD," $19,005.00 ",10," $19,015.00 ",150,European industrial anchor; electrification and automation trends remain long-term tailwinds.,,,,
2026-03-31,No Action,CENX,Century Aluminum Co.,Stock,1150, $53.49 ,USD," $61,513.50 ",10," $61,523.50 ",1150,Momentum hold; aluminum supply shocks continue to drive price action. Avoiding profit-taking too early.,,,,
2026-03-31,No Action,AA,Alcoa Corp.,Stock,980, $62.99 ,USD," $61,730.20 ",10," $61,740.20 ",980,Direct play on domestic supply crunch; trade remains in 'active' status without reaching target sell-points.,,,,
2026-03-31,No Action,GLD,SPDR Gold Trust,ETF,350, $415.00 ,USD," $145,250.00 ",10," $145,260.00 ",350,Primary capital preservation tool; held to benefit from continued equity-to-gold rotation.,,,,
2026-03-31,No Action,SH,ProShares Short S&P500,ETF,2500, $39.01 ,USD," $97,525.00 ",10," $97,535.00 ",2500,Core index hedge; kept in place to offset daily drawdowns in the remaining long positions.,,,,
2026-03-31,No Action,PSQ,ProShares Short QQQ,ETF,4500, $33.31 ,USD," $149,895.00 ",10," $149,905.00 ",4500,High-conviction short; tech weakness persists and position provides the necessary negative correlation.,,,,
2026-03-31,Close,MU,Micron Technology Inc.,Stock,15, $318.23 ,USD," $-65,418.00 ",10," $-65,408.00 ",0,Exit residual: Loss-making position not worth carrying.,,,,
2026-03-31,Close,SIEGY,Siemens AG – ADR,Stock,150, $118.68 ,USD," $-71,027.70 ",10," $-71,017.70 ",0,Exit residual: No momentum/catalysts in industrial ADR.,,,,
2026-04-08,Close,PSQ,ProShares Short QQQ,ETF,4500, $30.47 ,USD," $-137,115.00 ",10," $-137,105.00 ",0,Exit Triage: Ceasefire confirmed; inverse thesis broken.,,,,
2026-04-08,Close,SH,ProShares Short S&P500,ETF,2500, $36.44 ,USD," $-91,100.00 ",10," $-91,090.00 ",0,Exit Triage: Index hedge no longer justified by macro.,,,,
2026-04-08,Close,AA,Alcoa Corp,Stock,980, $71.11 ,USD," $-69,687.80 ",10," $-69,677.80 ",0,Exit War-Hedge: Aluminum supply shock trade ended.,,,,
2026-04-08,Close,LMT,Lockheed Martin Corp.,Stock,120, $615.00 ,USD," $-73,800.00 ",10," $-73,790.00 ",0,Exit Defense: Rotating out as sector rally reverses.,,,,
