Date (YYYY-MM-DD),Action (Open / Close / Adjust / No Action),Ticker,Asset Name,"Type (Stock, ETF, Bond, FX, etc.)",Quantity (positive number),Price per Unit,Trade Currency,Gross Trade Value (=Qty*Price),Fees / Commission,Net Trade Value,Position After Trade (units),Brief Reason (or reason for no change),
2026-02-12,Open,SPY,SPDR S&P 500 ETF Trust,ETF,295, $684.89 ,USD,202042.55,10,"202,052.55",295,Broad exposure to the U.S. market. Core long-term holding.,
2026-02-12,Open,LMT,Lockhead Martin Corp,Stock,100, $643.25 ,USD,64325,10,"64,335.00",100,Defense company with stable government contracts.,
2026-02-12,Open,XLP,Consumer Staples Select Sector SPDR,ETF,875, $89.52 ,USD,78330,10,"78,340.00",875,Consumer staples ETF. Defensive and stable.,
2026-02-12,Open,JNJ,Johnson & Johnson,Stock,260, $244.64 ,USD,63606.4,10,"63,616.40",260,Healthcare stock. Reliable and defensive.,
2026-02-12,Open,PG,Proctor & Gamble Co.,Stock,235, $162.45 ,USD,38175.75,10,"38,185.75",235,Strong global brands. Steady performance.,
2026-02-12,Open,WMT,Walmart Inc.,Stock,570, $132.95 ,USD,75781.5,10,"75,791.50",570,Large retailer. Performs well even in slow economies.,
2026-02-12,Open,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD,36360,10,"36,370.00",800,Utilities ETF. Low risk and stable returns.,
2026-02-17,Open,TSM,Taiwan Semiconductor Manufacturing - ADR,Stock,230, $363.94 ,USD,83706.2,10,"83,716.20",230,"AI chip foundry, 30% revenue growth guidance 2026",
2026-02-17,Open,MU,Micron Technology Inc.,Stock,110, $408.82 ,USD,44970.2,10,"44,980.20",110,"HBM memory for AI data centers, fully booked 2026",
2026-02-17,Open,PLTR,Palantir Technologies Inc,Stock,388, $131.48 ,USD,51014.24,10,"51,024.24",388,"AI software platform, government defense contracts",
2026-02-17,Open,JPM,JPMorgan Chase & Co.,Stock,150, $306.82 ,USD,46023,10,"46,033.00",150,"Banking sector exposure, diversified financials",
2026-02-17,Open,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD,50217.5,10,"50,227.50",250,E-commerce leader plus AWS cloud infrastructure,
2026-02-17,Open,GOOGL,Alphabet Inc - Class A,Stock,130, $302.22 ,USD,39288.6,10,"39,298.60",130,"Big tech AI infrastructure, search and cloud diversification",
2026-02-17,Open,GE,GE Aerospace,Stock,140, $329.44 ,USD,46121.6,10,"46,131.60",140,"Industrial conglomerate, aerospace and energy exposure",
2026-02-17,Open,IONQ,IonQ Inc,Stock,800, $33.60 ,USD,26880,10,"26,890.00",800,"Quantum computing infrastructure, speculative AI future tech",
,,,,,,,,,,,,,
2026-03-02,No Action,SPY,SPDR S&P 500 ETF Trust,ETF,295, $684.89 ,USD,202042.55,10,"202,052.55",295,Core benchmark exposure. Portfolio outperforming S&P by +2.00% this period. No thesis change. Stop-loss not required on index position. Hold.,
2026-03-02,No Action,LMT,Lockhead Martin Corp,Stock,100, $643.25 ,USD,64325,10,"64,335.00",100,Defense spending thesis intact. Up +2.70% since entry. Rising global military budgets support continued upside. Trailing stop placed at 5% to protect gains. Hold.,
2026-03-02,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,875, $89.52 ,USD,78330,10,"78,340.00",875,Consumer staples ETF. Minor unrealized loss within normal volatility range. Defensive allocation working as intended during market turbulence. Hold.,
2026-03-02,No Action,JNJ,Johnson & Johnson,Stock,260, $244.64 ,USD,63606.4,10,"63,616.40",260,Healthcare defensive. Stable earnings and dividend profile unchanged. Thesis intact. Hold.,
2026-03-02,No Action,PG,Proctor & Gamble Co.,Stock,235, $162.45 ,USD,38175.75,10,"38,185.75",235,FMCG defensive. Strong global brand portfolio and resilient consumer demand thesis confirmed. Hold.,
2026-03-02,No Action,WMT,Walmart Inc.,Stock,570, $132.95 ,USD,75781.5,10,"75,791.50",570,Down -5.37%. Retail sector under pressure from consumer spending data. Fundamental thesis (defensive retailer in slow economy) unchanged. Stop-loss placed at $118 to limit further downside. Monitor closely.,
2026-03-02,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD,36360,10,"36,370.00",800,Utilities ETF. Up +2.71%. Low-beta defensive working as intended in volatile market week. Thesis intact. Hold.,
2026-03-02,No Action,TSM,Taiwan Semiconductor Manufacturing - ADR,Stock,230, $363.94 ,USD,83706.2,10,"83,716.20",230,AI foundry thesis intact and strengthening. Up +1.68%. 2026 capex guidance and revenue growth forecast unchanged. Hold.,
2026-03-02,No Action,MU,Micron Technology Inc.,Stock,110, $408.82 ,USD,44970.2,10,"44,980.20",110,HBM memory demand thesis intact. Up +2.97%. AI data center memory demand fully booked 2026. Trailing stop placed at 7% to protect gains. Hold.,
2026-03-02,No Action,PLTR,Palantir Technologies Inc,Stock,388, $131.48 ,USD,51014.24,10,"51,024.24",388,AI Defense software platform thesis intact. Minor unrealized within acceptable range. Hold.,
2026-03-02,No Action,JPM,JPMorgan Chase & Co.,Stock,150, $306.82 ,USD,46023,10,"46,033.00",150,Down -2.98% on rate expectation repricing. Banking fundamentals unchanged. Thesis intact. Hold.,
2026-03-02,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD,50217.5,10,"50,227.50",250,AWS cloud and e-commerce thesis intact. Strong cloud infrastructure demand from AI workloads. Hold.,
2026-03-02,No Action,GOOGL,Alphabet Inc - Class A,Stock,130, $302.22 ,USD,39288.6,10,"39,298.60",130,Big tech AI infrastructure thesis intact.  Gemini AI momentum and search dominance boost. Trailing stop placed at 7%. Hold.,
2026-03-02,No Action,GE,GE Aerospace,Stock,140, $329.44 ,USD,46121.6,10,"46,131.60",140,Industrial/aerospace thesis intact. Up +2.90%. Strong commercial aviation and energy infrastructure demand. Trailing stop placed at 5%. Hold.,
2026-03-02,No Action,IONQ,IonQ Inc,Stock,800, $33.60 ,USD,26880,10,"26,890.00",800,"Down -8.39%. Speculative quantum computing position, sized at 2.7% of total portfolio. Long-term thesis unchanged; short-term volatility expected for early-stage tech. Stop-loss placed at $25. Hold.",
2026-03-02,Open,XLE,SSgA Active Trust - The Energy Select Sector SPDR,ETF,60, $57.95 ,USD,3477,10,"3,487.00",60,Energy sector ETF. Geopolitical risk premium from US-Iran standoff supports near-term oil price. Tactical position,
2026-03-02,Open,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD,11981.25,10,"11,991.25",75,Integrated oil major. Geopolitical hedging. . Benefits from elevated crude oil and strong margins.,
,,,,,,,,,,,,,
2026-03-03,No Action,SPY,SPDR S&P 500 ETF Trust,ETF,295, $684.89 ,USD,202042.55,10,"202,052.55",295,Core benchmark exposure. Portfolio outperforming S&P this period. Thesis unchanged; no stop-loss on index. Hold.,
2026-03-03,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,875, $89.52 ,USD,78330,10,"78,340.00",875,Consumer staples ETF. Minor unrealized loss within normal range. Defensive allocation working as intended. Hold.,
